X,Y
44.02010494,-92.43931254
45.31536792,-96.44581588
44.1120137,-93.25109201
44.92898519,-93.36223002
46.59380923,-95.59316041
43.9909794,-96.32323883
45.99052533,-95.95790188
48.59480202,-93.43177034
44.99230321,-93.33367574
44.74725173,-92.87328312
44.95588753,-93.09495164
44.45408513,-93.91525319
44.84316552,-93.79237948
44.61067394,-94.08523753
44.34975255,-93.97244919
47.772971,-96.61795594
46.52971167,-93.69844552
47.52633353,-95.40221803
47.5033919,-94.89991712
44.70782153,-96.27844799
43.62441169,-95.00450103
43.67200224,-96.21058073
48.10253762,-96.1836324
45.80907486,-96.50129101
44.23229821,-95.60733268
44.0456081,-95.43934259
43.62244441,-95.5984722
44.29951091,-94.72860443
45.57466059,-94.16909113
44.38778872,-92.04738659
46.29153524,-96.58842883
44.771263,-93.50289728
45.96688176,-94.3625669
44.94855495,-93.0999002
46.91595709,-95.06227361
46.79710125,-92.08739077
45.58489854,-95.90503045
45.31435721,-95.60903789
46.4456534,-95.13440141
44.94337981,-93.10714494
43.63395926,-94.10031171
47.40883706,-92.92989836
44.96773393,-93.23807517
45.87477744,-93.29120901
43.87910241,-95.11331123
44.03345769,-91.62296063
33.40346563,-91.05089815
32.40930168,-88.67599657
34.78709887,-89.41665948
32.37115474,-88.70007004
32.36843764,-88.69903542
33.06586615,-89.59836339
32.739439,-89.517516
32.8588947,-90.40425941
34.65778485,-88.56613194
33.8708532,-89.31837329
34.96986475,-89.99816568
33.52528491,-88.42782379
34.34799,-89.529729
34.49783221,-89.02806743
31.1458664,-90.45959046
33.74891062,-90.70841447
32.33159686,-90.10023004
33.31994427,-89.18268334
31.94631084,-90.98471094
31.8713551,-90.41463576
31.63722205,-89.55474347
33.41066929,-91.03480768
33.40348705,-91.05056502
33.09746861,-89.06731116
32.37605729,-88.72646197
30.36741843,-89.11603598
31.08209929,-91.0588784
31.31857979,-89.32959247
31.47318095,-90.88440552
30.44409012,-89.09343366
30.92192447,-88.59393837
33.97772925,-88.47660447
31.15399173,-88.56278243
33.5178092,-90.19915962
30.392244,-88.99959226
30.446688,-89.098263
32.03053361,-88.72595896
30.55006281,-89.66513169
33.11168955,-90.03073131
31.97702901,-89.29131849
31.70499058,-91.0680515
31.59463819,-89.8722649
32.77782229,-88.67962197
31.58916309,-90.45781796
32.57587486,-89.10376033
31.55407036,-90.0998427
31.87118017,-89.72902186
34.9353131,-88.55982341
31.25599595,-89.8055791
33.91843957,-90.49900793
30.36767541,-89.11556961
30.39593868,-88.88975065
32.28776853,-90.25451918
32.58137191,-90.08319563
